index,date,country,fitch_z,moody_z,sp_z,sovereign_risk_pillar_score
0,2006-01-01,Albania,0.0,1.0087913919962557,1.046406287322319,0.7436390118002958
1,2006-01-01,Angola,1.1126785188085513,1.0432717137462233,1.2687063747436853,1.2529110882105172
2,2006-01-01,Argentina,0.8019094656340884,0.595027539271921,1.3732727176772397,1.019368833450251
3,2006-01-01,Armenia,0.8407157091524815,0.595027539271921,1.0087913919962557,0.8976603764479846
4,2006-01-01,Australia,-1.5686994674010957,-1.573117102203179,-1.527169566843379,-1.7055456191201355
5,2006-01-01,Austria,-1.5393310704053884,-1.661989346619208,-1.5173236668228995,-1.7220501426302508
6,2006-01-01,Azerbaijan,0.3172745348113812,0.3881456129097537,0.3278148855312943,0.37601647404088095
7,2006-01-01,Bahamas,0.0,0.0637896475621586,0.3439099373588999,0.15037704960183257
8,2006-01-01,Bahrain,-0.4393820925389154,-0.4393820925389154,-0.1790926326096957,-0.3846972700644987
9,2006-01-01,Bangladesh,0.8019094656340884,0.8462413061107732,0.8110455618336138,0.8972968528411631
10,2006-01-01,Barbados,0.0,1.2267501118445745,1.0755542832784215,0.8308341235496084
11,2006-01-01,Belarus,1.354889468991298,1.4904383768081764,1.4248872943408577,1.5579602569019901
12,2006-01-01,Belgium,-1.473791724349752,-1.0600278716254177,-1.2669097979875847,-1.3933672439334863
13,2006-01-01,Belize,0.0,1.6236904504462928,1.6449684965556763,1.182507994168645
14,2006-01-01,Bolivia,1.076018387710288,1.092782607403989,1.215488059731004,1.236719310374204
15,2006-01-01,Bosnia and Herzegovina,0.0,1.215673318358423,0.9041674221021132,0.7629341937858395
16,2006-01-01,Botswana,0.0,-0.5983497778864024,-0.3418870423263375,-0.33761742537459355
17,2006-01-01,Brazil,0.595027539271921,0.595027539271921,0.6843794088156956,0.6850257467101993
18,2006-01-01,Bulgaria,0.1063155099869636,0.1812636865475864,0.1833279895787556,0.17109128163412582
19,2006-01-01,Cambodia,0.0,1.215673318358423,1.099302234779704,0.8358272696418733
20,2006-01-01,Canada,0.0560412048497219,-0.2135276019106485,-0.1082970722071395,-0.09477445202934855
21,2006-01-01,Chile,-0.5030282434670384,-0.6462640189010828,-0.677250128706215,-0.6669043384817944
22,2006-01-01,China,-0.6462640189010828,-0.267759949926685,-0.2245108975927633,-0.41858422837053266
23,2006-01-01,Colombia,0.595027539271921,0.3231828654022618,0.2197396989286623,0.4162863248481075
24,2006-01-01,Costa Rica,0.595027539271921,0.6051047041157213,0.909134886793007,0.7725116833752347
25,2006-01-01,Croatia,0.1713442106250522,0.314224187005146,0.2126344529528134,0.2527928285451379
26,2006-01-01,Cyprus,0.1651898959755533,0.3019448095692443,0.1224364611560487,0.21250942173998147
27,2006-01-01,Czechia,-0.9177965439413164,-0.9177965493202468,-1.0600278716254177,-1.0593393085908203
28,2006-01-01,Denmark,-1.680673650711919,-1.680673650711919,0.0,-1.2144019542281188
29,2006-01-01,Dominican Republic,1.215673318358423,1.042837278251417,0.9542862403693132,1.1736432019419822
30,2006-01-01,Ecuador,1.510263755957584,1.6819582588336703,1.5749185410983122,1.7388886562541797
31,2006-01-01,Egypt,0.9478641412713236,1.1731333050029729,1.1530894068188449,1.1938393038167425
32,2006-01-01,El Salvador,1.1565599380239793,1.1302925473911702,1.2361499597431995,1.2875488294960888
33,2006-01-01,Estonia,-0.6462640189010828,-0.85314594526325,-0.8861866569922605,-0.870696977988833
34,2006-01-01,Fiji,0.0,0.9603578690711294,1.022213709322538,0.7176453599850618
35,2006-01-01,Finland,-1.547678129281865,-1.5476781135588389,-1.473791724349752,-1.6688755340707362
36,2006-01-01,France,-1.3295941709768402,-1.3256225434032327,-1.247197867714546,-1.4253148008076324
37,2006-01-01,Georgia,0.7940578062184788,0.7015735436341123,0.7385925921176019,0.8166615120017898
38,2006-01-01,Germany,-1.680673650711919,-1.680673650711919,0.0,-1.2144019542281188
39,2006-01-01,Ghana,0.0,0.0,1.0087913919962557,0.37641250908555235
40,2006-01-01,Greece,0.7807614365401463,0.9380479517711716,0.6217262125189791,0.8508457423863565
41,2006-01-01,Guatemala,0.3881456129097537,0.3881456129097537,0.595027539271921,0.5022139479796287
42,2006-01-01,Honduras,0.0,1.1625992703882713,0.94644998538194,0.7601478536135097
43,2006-01-01,Hong Kong,-1.0600278716254177,-1.0600278716254177,-1.3041271663820322,-1.2532591928362626
44,2006-01-01,Hungary,-0.2325001661767481,-0.6462640189010828,-0.214782599603325,-0.39345284873810954
45,2006-01-01,Iceland,-1.0600278716254177,-0.9711472652488068,-0.6039634815126113,-0.9605944939863701
46,2006-01-01,India,0.1812636865475864,0.1123030444958245,0.1812636865475864,0.17407432720175336
47,2006-01-01,Indonesia,0.8019094656340884,1.0087913919962557,1.0087389226020915,1.0280540630576558
48,2006-01-01,Ireland,-1.0600278716254177,-0.8230579430015643,-0.9505996250901316,-1.0382355491920787
49,2006-01-01,Israel,-0.4393820925389154,-0.8952134030601423,-0.8277242804976599,-0.7865805862547403
50,2006-01-01,Italy,-1.2669097979875847,-1.0185081866903425,-0.7236491938006331,-1.0988896633467977
51,2006-01-01,Jamaica,1.0087913919962557,1.2976007107010563,1.0141553624495767,1.2081941585414264
52,2006-01-01,Japan,-0.9149650292165656,-0.9290026516650054,-0.9442524633841548,-1.0189604136651496
53,2006-01-01,Jordan,0.8019094656340884,0.9829311512009848,0.9011865700725814,0.9788240183315341
54,2006-01-01,Kazakhstan,-0.0256182398145808,-0.0256182398145808,0.0568853048318818,0.0023212411382084928
