country,CRI_equal_weights_0_to_100,CRI_economic_focus_0_to_100,CRI_governance_focus_0_to_100,CRI_sovereign_focus_0_to_100,CRI_trade_focus_0_to_100,CRI_pca_weights_0_to_100
Guinea Bissau,66.08255221833993,66.13947968682471,63.920341052402904,61.02760497268152,71.83606225047829,53.049675024495734
Central African Republic,82.20386203325464,82.23373129375368,91.23149405928358,72.50286854488621,81.00003664391036,75.35666552317153
Myanmar,76.30333963431639,76.34311240539415,87.37598609138018,68.30283452042552,71.30682411592075,77.13130670071777
Vatican City,45.02101569161947,45.113293106379224,48.16113534558099,46.0358527109555,39.298555218790064,51.83545013321517
Colombia,53.23483601242264,52.900599242766525,55.679690138068004,52.870848967892314,49.81774331816132,56.32206479284232
Cayman Islands,30.709421517486295,30.825719690870347,27.1378236485661,35.8487576689218,27.83711773884596,37.06406765802442
Guadeloupe,59.38451915441956,59.452688685355824,58.90856611606344,56.25989715574479,61.48841749819276,52.19097717306005
Libya,85.52752970258786,85.55182047770916,94.64007524885926,74.86867895172601,85.1832368376145,78.65812897392436
American Samoa,41.50878392938989,41.60695631785884,45.533122771057386,43.53582103480932,33.872585203949086,51.935085580629114
Liberia,73.17028818103508,73.21531950484996,75.40486926047497,66.07270609882418,76.40473320167541,62.01077067966293
Kyrgyzstan,72.9975954166494,73.04291659015949,76.11015438487823,65.9497821546106,75.27645994045439,64.3283214225573
Seychelles,53.10934099215038,53.188042860583515,48.90755921434234,51.793180480654165,57.27121219206393,44.42272747128543
Ghana,53.95088868192225,54.02817808618957,54.504510216315715,59.733522095430594,45.47676835928898,68.79234253912198
Nicaragua,68.48480135161313,68.53769685511317,74.37168364810366,71.86988376603584,56.703330226891836,86.3137137823695
Costa Rica,54.509385332064156,54.58573734857003,48.9726070398054,59.095577620064276,53.60543972183701,57.35318417309136
Gibraltar,63.05224788455235,63.114261453724055,61.652928639740324,58.87061268524123,67.15461137704946,52.09333759562992
Sierra Leone,59.371644564823626,59.43983570463206,65.34776497643618,56.25073293083419,54.811183302449116,63.26848915951191
Cook Islands,64.38852474950465,64.44829549487646,62.65279215726355,59.82178411031867,69.21899627292383,54.02770853261051
Congo (People's Rep Of),67.40455913016517,67.45926772571782,64.90952713779905,61.9686189431119,73.87840180794039,53.708811297357585
Wallis & Futuna,63.68782662279331,63.74877342866302,62.128497744877265,59.32302217466477,68.13650306564827,52.22976420103866
Congo (Kinshasa),74.61215922796131,74.65477049738085,84.84514890604153,67.09904021748876,70.00049030941476,75.20133640274715
Vietnam,44.50610333296465,44.59924498306601,50.31118300738504,45.66933441312569,35.88577406995603,55.6465353667801
New Zealand,30.042988061691883,30.1604047853217,21.189155407867304,22.907624702435594,45.96247132846215,3.528359958756318
Singapore,23.282794604014438,23.411557720877912,16.732075236729514,21.055067101950687,31.686672759613156,9.299651896147711
Congo (Democratic Rep Of),64.97339099155286,65.03218009011043,63.090415851419,60.23809608242523,70.1225433355561,54.03242513978396
Congo (Brazzaville),66.72805716475264,66.78390120966351,73.04665679982183,61.48708000804093,63.91050190817098,66.20360613036513
Greece,43.535605740359514,44.95966653721266,42.69405836141401,46.483605027258506,38.838432432397106,49.85005263309669
Greenland,49.47083258139233,49.5556413678406,51.49069202985489,49.20326418337511,46.17297998628135,52.049036940596615
