date,rows
2006-01-01,200
2006-01-02,197
2006-01-03,197
2006-01-04,197
2006-01-05,197
2006-01-06,197
2006-01-07,197
2006-01-08,197
2006-01-09,197
2006-01-10,197
2006-01-11,197
2006-01-12,197
2006-02-01,200
2006-03-01,200
2006-04-01,200
2006-05-01,200
2006-06-01,200
2006-07-01,200
2006-08-01,200
2006-09-01,200
2006-10-01,200
2006-11-01,200
2006-12-01,200
2007-01-01,201
2007-01-02,197
2007-01-03,197
2007-01-04,197
2007-01-05,197
2007-01-06,197
2007-01-07,197
2007-01-08,197
2007-01-09,197
2007-01-10,197
2007-01-11,197
2007-01-12,197
2007-02-01,201
2007-03-01,201
2007-04-01,201
2007-05-01,201
2007-06-01,201
2007-07-01,201
2007-08-01,201
2007-09-01,201
2007-10-01,201
2007-11-01,201
2007-12-01,201
2008-01-01,201
2008-01-02,197
2008-01-03,197
2008-01-04,197
2008-01-05,197
2008-01-06,197
2008-01-07,197
2008-01-08,197
2008-01-09,197
2008-01-10,197
2008-01-11,197
2008-01-12,197
2008-02-01,201
2008-03-01,201
2008-04-01,201
2008-05-01,201
2008-06-01,201
2008-07-01,201
2008-08-01,201
2008-09-01,201
2008-10-01,201
2008-11-01,201
2008-12-01,201
2009-01-01,201
2009-01-02,197
2009-01-03,197
2009-01-04,197
2009-01-05,197
2009-01-06,197
2009-01-07,197
2009-01-08,197
2009-01-09,197
2009-01-10,197
2009-01-11,197
2009-01-12,197
2009-02-01,201
2009-03-01,201
2009-04-01,201
2009-05-01,201
2009-06-01,201
2009-07-01,201
2009-08-01,201
2009-09-01,201
2009-10-01,201
2009-11-01,201
2009-12-01,201
2010-01-01,201
2010-01-02,197
2010-01-03,197
2010-01-04,197
2010-01-05,197
2010-01-06,197
2010-01-07,197
2010-01-08,197
2010-01-09,197
2010-01-10,197
2010-01-11,197
2010-01-12,197
2010-02-01,201
2010-03-01,201
2010-04-01,201
2010-05-01,201
2010-06-01,201
2010-07-01,201
2010-08-01,201
2010-09-01,201
2010-10-01,201
2010-11-01,201
2010-12-01,201
2011-01-01,201
2011-01-02,197
2011-01-03,197
2011-01-04,197
2011-01-05,197
2011-01-06,197
2011-01-07,197
2011-01-08,197
2011-01-09,197
2011-01-10,197
2011-01-11,197
2011-01-12,197
2011-02-01,201
2011-03-01,201
2011-04-01,201
2011-05-01,201
2011-06-01,201
2011-07-01,201
2011-08-01,201
2011-09-01,201
2011-10-01,201
2011-11-01,201
2011-12-01,201
2012-01-01,201
2012-01-02,197
2012-01-03,197
2012-01-04,197
2012-01-05,197
2012-01-06,197
2012-01-07,197
2012-01-08,197
2012-01-09,197
2012-01-10,197
2012-01-11,197
2012-01-12,197
2012-02-01,201
2012-03-01,201
2012-04-01,201
2012-05-01,201
2012-06-01,201
2012-07-01,201
2012-08-01,201
2012-09-01,201
2012-10-01,201
2012-11-01,201
2012-12-01,201
2013-01-01,201
2013-01-02,197
2013-01-03,197
2013-01-04,197
2013-01-05,197
2013-01-06,197
2013-01-07,197
2013-01-08,197
2013-01-09,197
2013-01-10,197
2013-01-11,197
2013-01-12,197
2013-02-01,201
2013-03-01,201
2013-04-01,201
2013-05-01,201
2013-06-01,201
2013-07-01,201
2013-08-01,201
2013-09-01,201
2013-10-01,201
2013-11-01,201
2013-12-01,201
2014-01-01,201
2014-01-02,197
2014-01-03,197
2014-01-04,197
2014-01-05,197
2014-01-06,197
2014-01-07,197
2014-01-08,197
2014-01-09,197
2014-01-10,197
2014-01-11,197
2014-01-12,197
2014-02-01,201
2014-03-01,201
2014-04-01,201
2014-05-01,201
2014-06-01,201
2014-07-01,201
2014-08-01,201
2014-09-01,201
2014-10-01,201
2014-11-01,201
2014-12-01,201
2015-01-01,201
2015-01-02,197
2015-01-03,197
2015-01-04,197
2015-01-05,197
2015-01-06,197
2015-01-07,197
2015-01-08,197
2015-01-09,197
2015-01-10,197
2015-01-11,197
2015-01-12,197
2015-02-01,201
