country,CRI_equal_weights_0_to_100
Australia,0.0
Denmark,5.435015377791368
Luxembourg,9.542631613303003
United Kingdom,15.415151223308108
Taiwan,16.535386839155365
France,17.2322139821363
Austria,20.20790220481236
Andorra,21.486068554759026
Finland,21.56157594617427
Japan,22.101728782141656
