date,country,country_code,country_grade,country_grade_numeric,short_term_risk,short_term_risk_value,zscore_grade,zscore_risk,trade_payment_pillar_score
2023-01-01,Afghanistan,AFG,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Albania,ALB,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Algeria,DZA,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,American Samoa,ASM,A,6,1 (Low),1,-1.2335964846365255,-1.2637191067816909,-1.2848114453441228
2023-01-01,Andorra,AND,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Angola,AGO,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Anguilla,AIA,BB,12,1 (Low),1,-0.4287047477843733,-1.2637191067816909,-0.8707131554346469
2023-01-01,Antarctica,ATA,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Antigua & Barbuda,ATG,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Argentina,ARG,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Armenia,ARM,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Aruba,ABW,B,15,2 (Medium),2,-0.026258879358297172,-0.4200429985609597,-0.2296120533583012
2023-01-01,Australia,AUS,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Austria,AUT,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Azerbaijan,AZE,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,"BES Islands (Bonaire, St Eustatius, Saba)",BES,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Bahamas,BHS,B,15,3 (Sensitive),3,-0.026258879358297172,0.4236331096597714,0.20443990376330656
2023-01-01,Bahrain,BHR,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Bangladesh,BGD,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Barbados,BRB,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Belarus,BLR,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Belgium,BEL,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Belize,BLZ,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Benin,BEN,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Bermuda,BMU,A,6,1 (Low),1,-1.2335964846365255,-1.2637191067816909,-1.2848114453441228
2023-01-01,Bhutan,BTN,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Bosnia and Herzegovina,BOL,D,22,3 (Sensitive),3,0.9127814803025471,0.4236331096597714,0.6875545753243619
2023-01-01,Botswana,BIH,BB,12,1 (Low),1,-0.4287047477843733,-1.2637191067816909,-0.8707131554346469
2023-01-01,Bouvet Island,BWA,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Brazil,BVT,B,15,3 (Sensitive),3,-0.026258879358297172,0.4236331096597714,0.20443990376330656
2023-01-01,British Indian Ocean Territory,BRA,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,British Virgin Islands,IOT,A,6,1 (Low),1,-1.2335964846365255,-1.2637191067816909,-1.2848114453441228
2023-01-01,Brunei,VGB,BB,12,2 (Medium),2,-0.4287047477843733,-0.4200429985609597,-0.4366611983130391
2023-01-01,Bulgaria,BRN,B,15,2 (Medium),2,-0.026258879358297172,-0.4200429985609597,-0.2296120533583012
2023-01-01,Burkina Faso,BGR,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Burundi,BFA,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Cambodia,BDI,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Cameroon,KHM,C,21,3 (Sensitive),3,0.778632857493855,0.4236331096597714,0.6185381936727826
2023-01-01,Canada,CMR,AA,3,1 (Low),1,-1.6360423530626016,-1.2637191067816909,-1.4918605902988609
2023-01-01,Cape Verde Islands,CAN,C,21,2 (Medium),2,0.778632857493855,-0.4200429985609597,0.18448623655117477
2023-01-01,Cayman Islands,CPV,A,6,1 (Low),1,-1.2335964846365255,-1.2637191067816909,-1.2848114453441228
2023-01-01,Central African Republic,CYM,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Chad,CAF,D,22,4 (High),4,0.9127814803025471,1.2673092178805025,1.1216065324459699
2023-01-01,Chile,TCD,BB,12,2 (Medium),2,-0.4287047477843733,-0.4200429985609597,-0.4366611983130391
2023-01-01,China,CHL,B,15,1 (Low),1,-0.026258879358297172,-1.2637191067816909,-0.663664010479909
2023-01-01,Christmas Island,CHN,A,6,1 (Low),1,-1.2335964846365255,-1.2637191067816909,-1.2848114453441228
