date,Fitch_z,Moody_z,S&P_z
2006-01-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-02-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-03-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-04-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-05-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-06-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-07-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-08-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-09-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-10-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-11-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2006-12-01,-1.2046368055738337,-0.039271516860086945,1.2439083224339234
2007-01-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-02-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-03-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-04-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-05-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-06-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-07-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-08-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-09-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-10-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-11-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2007-12-01,-1.21742954190684,-0.014501871049482,1.2319314129563248
2008-01-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-02-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-03-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-04-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-05-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-06-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-07-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-08-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-09-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-10-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-11-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2008-12-01,-1.1026762000810768,-0.21552492445018778,1.3182011245312673
2009-01-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-02-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-03-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-04-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-05-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-06-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-07-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-08-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-09-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-10-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-11-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2009-12-01,-1.0385489503142693,-0.31202694932789965,1.350575899642169
2010-01-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-02-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-03-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-04-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-05-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-06-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-07-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-08-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-09-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-10-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-11-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2010-12-01,-0.986317956248194,-0.3845554782264828,1.3708734344746734
2011-01-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-02-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-03-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-04-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-05-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-06-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-07-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-08-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-09-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-10-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-11-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2011-12-01,-1.2185758572403318,-0.01224618960122336,1.2308220468415576
2012-01-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
2012-02-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
2012-03-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
2012-04-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
2012-05-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
2012-06-01,-1.264306582829548,0.08338499016149474,1.1809215926680479
