date,Country,Alpha3,Fitch,Moody,S&P,Moody_z,S&P_z,Fitch_z
2006-01-01,Albania,ALB,,14.0,14.181818181818182,0.999994329462378,0.9315710746942907,
2006-01-01,Angola,AGO,14.502156611123691,14.166666666666677,15.2563445584831,1.0338341360282548,1.1664931713649551,1.2742701378227081
2006-01-01,Argentina,ARG,13.0,12.0,15.761784282509822,0.5939166506718805,1.2769967032350036,0.9653165102252204
2006-01-01,Armenia,ARM,13.187576774152864,12.0,14.0,0.5939166506718805,0.89182043719189,1.0038960593870156
2006-01-01,Australia,AUS,1.5412468132662949,1.5198934023483508,1.7419888558940106,-1.5339520296537992,-1.7881302290017154,-1.3914439890261734
2006-01-01,Austria,AUT,1.683204100493063,1.090313854086449,1.7895807371475083,-1.6211733625608309,-1.7777252870930074,-1.3622471539373204
2006-01-01,Azerbaijan,AZE,10.657432240119894,11.0,10.708380866492522,0.39087781127663185,0.172178662845767,0.4835126810183037
2006-01-01,Bahamas,BHS,,9.432168671509736,10.786179121182291,0.07254715797245763,0.1891875790584756,
2006-01-01,Bahrain,BHR,7.0,7.0,8.258154660946431,-0.42127754630436304,-0.36351063247973403,-0.2687237701675456
2006-01-01,Bangladesh,BGD,13.0,13.21428571428571,13.044160919815887,0.8404638127946816,0.6828467668632422,0.9653165102252204
2006-01-01,Barbados,BRB,,15.05354162370891,14.32271012455651,1.2139041979948209,0.9623740696796923,
2006-01-01,Belarus,BLR,15.67292563325129,16.328124999999996,16.01127237050385,1.4726941274294407,1.3315419112436009,1.515066159879626
2006-01-01,Belgium,BEL,2.0,4.0,3.0,-1.0303940644901093,-1.5130931317033582,-1.2970906704948506
2006-01-01,Belize,BLZ,,16.97222222222222,17.07507337976043,1.6034708798871449,1.564119136858656,
2006-01-01,Bolivia,BOL,14.324953448876412,14.405986238234744,14.999104516179054,1.0824253040840035,1.110253165164938,1.237824164485022
2006-01-01,Bosnia and Herzegovina,BIH,,15.0,13.494281730938155,1.2030331688576268,0.7812560074368856,
2006-01-01,Botswana,BWA,,6.231601870456803,7.471259388721521,-0.5772922107202937,-0.5355483704318438,
2006-01-01,Brazil,BRA,12.0,12.0,12.431897898723095,0.5939166506718805,0.5489886171215282,0.7596431301597594
2006-01-01,Bulgaria,BGR,9.637724870616548,10.0,10.009978174484154,0.1878389718813831,0.019487925521776597,0.27378601965489063
2006-01-01,Cambodia,KHM,,15.0,14.4375,1.2030331688576268,0.9874704086820418,
2006-01-01,Canada,CAN,9.3947152181023,8.091707209551746,8.600357392999129,-0.1996185815175509,-0.28869536033186516,0.22380540303375213
2006-01-01,Chile,CHL,6.69235519020187,6.0,5.850223214671004,-0.6243163856996118,-0.889953087763128,-0.3319981180583228
2006-01-01,China,CHN,6.0,7.829565664341423,8.03861752791034,-0.252843496614332,-0.4115077079447211,-0.4743971502330066
2006-01-01,Colombia,COL,12.0,10.68599119214392,10.18598053979968,0.3271218273696477,0.05796705974950082,0.7596431301597594
2006-01-01,Costa Rica,CRI,12.0,12.048709744664995,13.518292842685687,0.6038066206959001,0.7865055209319674,0.7596431301597594
2006-01-01,Croatia,HRV,9.95205247656006,10.642687845218292,10.151636086588445,0.31832956606793844,0.050458383245502066,0.3384348408171772
2006-01-01,Cyprus,CYP,9.922304519509566,10.583333333333334,9.715648309650064,0.30627829486194497,-0.044860973175551336,0.33231647794055985
2006-01-01,Czechia,CZE,4.687500015625078,4.687499989583334,4.0,-0.8908048645208634,-1.2944646254401537,-0.7443434583552615
2006-01-01,Denmark,DNK,1.0,1.0,,-1.6395105826758554,,-1.5027640505603115
2006-01-01,Dominican Republic,DOM,15.0,14.16456675103223,13.736539805138817,1.033407771595009,0.8342205283295767,1.3766632703561423
2006-01-01,Ecuador,ECU,16.42395444383356,17.253869867729406,16.736474662441516,1.660656290949328,1.490091805068585,1.669532793878624
2006-01-01,Egypt,EGY,13.705497469463188,14.794375401858348,14.69748971083786,1.1612833890998313,1.0443115708063258,1.1104185593973435
2006-01-01,El Salvador,SLV,14.714265133415912,14.587297101825447,15.098977433836296,1.11923845139721,1.1320882319684888,1.3178952145432394
2006-01-01,Estonia,EST,6.0,5.0,4.840291936686854,-0.8273552250948605,-1.1107528544972918,-0.4743971502330066
2006-01-01,Fiji,FJI,,13.765888092811975,14.064879121190293,0.9524605195383132,0.9060048625453931,
2006-01-01,Finland,FIN,1.642857130158729,1.6428572063492022,2.0,-1.5089856016018415,-1.7317216379665625,-1.3705454517013838
2006-01-01,France,FRA,2.697004111796834,2.716201668901254,3.0952810653890253,-1.2910549876539557,-1.4922619747021888,-1.153735478902071
2006-01-01,Georgia,GEO,12.96204762552635,12.515008762569863,12.693946806350334,0.6984834321024488,0.606279978363976,0.9575107170857148
2006-01-01,Germany,DEU,1.0,1.0,,-1.6395105826758554,,-1.5027640505603115
2006-01-01,Ghana,GHA,,,14.0,,0.89182043719189,
2006-01-01,Greece,GRC,12.89777730492868,13.658049204489632,12.129052709401984,0.9305650368116709,0.4827780257512564,0.9442920230105009
2006-01-01,Guatemala,GTM,11.0,11.0,12.0,0.39087781127663185,0.4545634246654812,0.5539697500942984
2006-01-01,Honduras,HND,,14.743457301872647,13.698661902909269,1.1509450371745233,0.8259393391447469,
2006-01-01,Hong Kong,HKG,4.0,4.0,2.8201033355240126,-1.0303940644901093,-1.552423670739476,-0.8857439103639286
2006-01-01,Hungary,HUN,8.0,6.0,8.085640959118965,-0.6243163856996118,-0.40122704542020876,-0.06305039010208462
