Moody_z,S&P_z,Fitch_z,date
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-01-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-02-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-03-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-04-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-05-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-06-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-07-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-08-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-09-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-10-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-11-01
0.6136191849114591,0.5677519308539731,0.548752440468544,2006-12-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-01-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-02-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-03-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-04-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-05-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-06-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-07-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-08-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-09-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-10-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-11-01
0.6151947120705337,0.5639980171540611,0.5508554282992414,2007-12-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-01-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-02-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-03-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-04-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-05-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-06-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-07-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-08-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-09-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-10-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-11-01
0.6141718707184443,0.564453151153974,0.5515301926191852,2008-12-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-01-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-02-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-03-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-04-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-05-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-06-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-07-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-08-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-09-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-10-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-11-01
0.6142790817318922,0.5675270752188563,0.5482465035366424,2009-12-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-01-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-02-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-03-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-04-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-05-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-06-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-07-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-08-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-09-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-10-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-11-01
0.613975484118848,0.5691775354252855,0.5468738776612251,2010-12-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-01-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-02-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-03-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-04-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-05-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-06-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-07-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-08-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-09-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-10-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-11-01
0.6149122476573918,0.5699651773590695,0.5449978204350723,2011-12-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-01-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-02-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-03-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-04-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-05-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-06-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-07-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-08-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-09-01
0.6131388685385545,0.5695069386503581,0.5474692454525262,2012-10-01
