country,overall_risk_score,risk_score_0_to_100,ewm6,ewm6_score_0_to_100
Afghanistan,1.1915408173335151,100.0,1.2335982414283788,100.0
Albania,0.3751010215776354,69.44897667639326,0.02184514815861724,54.67140177305516
Algeria,0.24413026239616784,64.54807554533191,0.28883332093344727,64.65874959355888
American Samoa,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Andorra,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Angola,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Anguilla,-0.8373324666902967,24.079943992113186,-0.7937109853396261,24.163523136567445
Antarctica,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Argentina,1.0403118869992334,94.34104192144473,0.8907028188744999,87.17315521690765
Armenia,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Aruba,-0.4019360123566109,40.37239727588406,-0.6237426119895326,30.521607262504624
Australia,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Austria,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Azerbaijan,0.39167273122405494,70.06908692892091,0.08080957634362083,56.877110914401285
Bahamas,0.10787365641371978,59.44937902293705,-0.02758259398916783,52.82243577699048
Bahrain,1.1200399406725987,97.32445066754298,1.1598427817369223,97.24099602636343
Bangladesh,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Barbados,0.729634368317928,82.7155477102453,0.7438600770264014,81.68014209010424
Belarus,1.1915408173335151,100.0,1.2335982414283788,100.0
Belgium,-1.4627721211011926,0.6761099693910008,-1.377712494370694,2.3175134883745696
Belize,0.729634368317928,82.7155477102453,0.7438600770264014,81.68014209010424
Benin,0.5368789163792191,75.5026750176792,0.40305391438662536,68.93145120136877
Bermuda,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Bhutan,1.046334632178351,94.56641191124174,0.9105361050930381,87.9150679609422
Bolivia,1.1915408173335151,100.0,1.2335982414283788,100.0
Bosnia and Herzegovina,0.7535859781952999,83.61181243889448,0.7970710038255954,83.6706273923993
Botswana,-0.8010341639871276,25.43821963993994,-0.6692495820374454,28.81930736883459
