date,country,zscore_grade,zscore_risk,pc1_raw,trade_payment_pillar_score
2023-01-01,Afghanistan,0.9085035987399755,1.2696250173552184,1.540169514737382,1.1257784033899338
2023-02-01,Afghanistan,0.9085035987399755,1.2696250173552184,1.540169514737382,1.1257784033899338
2023-03-01,Afghanistan,0.9085035987399755,1.2696250173552184,1.540169514737382,1.1257784033899338
2023-04-01,Afghanistan,0.9140098520767564,1.2779653712251136,1.549960544589649,1.1329572390836287
2023-05-01,Afghanistan,0.9140098520767564,1.2779653712251136,1.549960544589649,1.1329572390836287
2023-06-01,Afghanistan,0.9140098520767564,1.2779653712251136,1.549960544589649,1.1329572390836287
2023-07-01,Afghanistan,0.9190003904519592,1.286395771805557,1.559450581535077,1.1436831524408688
2023-08-01,Afghanistan,0.9190003904519592,1.286395771805557,1.559450581535077,1.1436831524408688
2023-09-01,Afghanistan,0.9190003904519592,1.286395771805557,1.559450581535077,1.1436831524408688
2023-10-01,Afghanistan,0.9206242305734492,1.2811997768564642,1.556924686633031,1.1425040202964862
2023-11-01,Afghanistan,0.9206242305734492,1.2811997768564642,1.556924686633031,1.1425040202964862
2023-12-01,Afghanistan,0.9206242305734492,1.2811997768564642,1.556924686633031,1.1425040202964862
2024-01-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-02-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-03-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-04-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-05-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-06-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-07-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-08-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-09-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-10-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-11-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2024-12-01,Afghanistan,0.9234030727429586,1.3026748725598023,1.574074810573399,1.157014486130669
2025-01-01,Afghanistan,0.9741131055669616,1.4362124740535651,1.7043575622170704,1.2605158966124275
2025-02-01,Afghanistan,0.9741131055669616,1.4362124740535651,1.7043575622170704,1.2605158966124275
2025-03-01,Afghanistan,0.9741131055669616,1.4362124740535651,1.7043575622170704,1.2605158966124275
2025-04-01,Afghanistan,0.9749937655246032,1.4362124740535651,1.704980282845038,1.260826229119548
2023-01-01,Albania,0.9085035987399755,0.4162015785369756,0.9367080139254594,0.6846815511339148
2023-02-01,Albania,0.9085035987399755,0.4162015785369756,0.9367080139254594,0.6846815511339148
2023-03-01,Albania,0.9085035987399755,0.4162015785369756,0.9367080139254594,0.6846815511339148
2023-04-01,Albania,0.7763659351838916,0.424587179255712,0.8492020911073477,0.6207317082511559
2023-05-01,Albania,0.7763659351838916,0.424587179255712,0.8492020911073477,0.6207317082511559
2023-06-01,Albania,0.7763659351838916,0.424587179255712,0.8492020911073477,0.6207317082511559
2023-07-01,Albania,0.7808099613691831,0.4330024983528509,0.8582950213581734,0.6294637145762859
2023-08-01,Albania,0.7808099613691831,0.4330024983528509,0.8582950213581734,0.6294637145762859
2023-09-01,Albania,0.7808099613691831,0.4330024983528509,0.8582950213581734,0.6294637145762859
2023-10-01,Albania,0.783409312213383,0.4367726512010673,0.8627989406118737,0.6331399757610484
2023-11-01,Albania,0.783409312213383,0.4367726512010673,0.8627989406118737,0.6331399757610484
2023-12-01,Albania,0.783409312213383,0.4367726512010673,0.8627989406118737,0.6331399757610484
2024-01-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-02-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-03-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-04-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-05-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-06-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-07-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-08-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-09-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-10-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-11-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2024-12-01,Albania,0.7861769938507034,0.45780906064402,0.8796309748347172,0.646567604980775
2025-01-01,Albania,0.0141861131878684,-0.2297939958485705,-0.1524577959066558,-0.11275537455464814
2025-02-01,Albania,0.0141861131878684,-0.2297939958485705,-0.1524577959066558,-0.11275537455464814
2025-03-01,Albania,0.0141861131878684,-0.2297939958485705,-0.1524577959066558,-0.11275537455464814
2025-04-01,Albania,-0.4071552177260565,-0.2297939958485705,-0.4503911081900571,-0.33306245725063094
2023-01-01,Algeria,0.7708720834084719,0.4162015785369756,0.839387836129573,0.6135459044870203
2023-02-01,Algeria,0.7708720834084719,0.4162015785369756,0.839387836129573,0.6135459044870203
