date,country,country_code,country_grade,country_grade_letter,short_term_risk_level,short_term_risk_value
2023-01-01,Afghanistan,AFG,D,D,4 (High),4.0
2023-01-01,Albania,ALB,D,D,3 (Sensitive),3.0
2023-01-01,Algeria,DZA,C,C,3 (Sensitive),3.0
2023-01-01,American Samoa,ASM,A,A,1 (Low),1.0
2023-01-01,Andorra,AND,AA,AA,1 (Low),1.0
2023-01-01,Angola,AGO,D,D,3 (Sensitive),3.0
2023-01-01,Anguilla,AIA,BB,BB,1 (Low),1.0
2023-01-01,Antarctica,ATA,AA,AA,1 (Low),1.0
2023-01-01,Argentina,ARG,D,D,4 (High),4.0
2023-01-01,Armenia,ARM,D,D,3 (Sensitive),3.0
2023-01-01,Aruba,ABW,B,B,2 (Medium),2.0
2023-01-01,Australia,AUS,AA,AA,1 (Low),1.0
2023-01-01,Austria,AUT,AA,AA,1 (Low),1.0
2023-01-01,Azerbaijan,AZE,C,C,3 (Sensitive),3.0
2023-01-01,Bahamas,BHS,B,B,3 (Sensitive),3.0
2023-01-01,Bahrain,BHR,C,C,3 (Sensitive),3.0
2023-01-01,Bangladesh,BGD,D,D,3 (Sensitive),3.0
2023-01-01,Barbados,BRB,D,D,3 (Sensitive),3.0
2023-01-01,Belarus,BLR,D,D,4 (High),4.0
2023-01-01,Belgium,BEL,AA,AA,1 (Low),1.0
2023-01-01,Belize,BLZ,D,D,3 (Sensitive),3.0
2023-01-01,Benin,BEN,C,C,3 (Sensitive),3.0
2023-01-01,Bermuda,BMU,A,A,1 (Low),1.0
2023-01-01,Bhutan,BTN,C,C,3 (Sensitive),3.0
2023-01-01,Bolivia,BOL,D,D,4 (High),4.0
2023-01-01,Bosnia and Herzegovina,BIH,D,D,3 (Sensitive),3.0
2023-01-01,Botswana,BWA,BB,BB,1 (Low),1.0
2023-01-01,Bouvet Island,BVT,AA,AA,1 (Low),1.0
2023-01-01,Brazil,BRA,B,B,3 (Sensitive),3.0
2023-01-01,British Indian Ocean Territory,IOT,AA,AA,1 (Low),1.0
2023-01-01,British Virgin Islands,VGB,A,A,1 (Low),1.0
2023-01-01,Bulgaria,BGR,B,B,2 (Medium),2.0
2023-01-01,Burkina Faso,BFA,D,D,4 (High),4.0
2023-01-01,Burundi,BDI,D,D,4 (High),4.0
2023-01-01,Cambodia,KHM,C,C,3 (Sensitive),3.0
2023-01-01,Cameroon,CMR,C,C,3 (Sensitive),3.0
2023-01-01,Canada,CAN,AA,AA,1 (Low),1.0
2023-01-01,Cayman Islands,CYM,A,A,1 (Low),1.0
2023-01-01,Central African Republic,CAF,D,D,4 (High),4.0
2023-01-01,Chad,TCD,D,D,4 (High),4.0
2023-01-01,Chile,CHL,BB,BB,2 (Medium),2.0
2023-01-01,China,CHN,B,B,1 (Low),1.0
2023-01-01,Christmas Island,CXR,A,A,1 (Low),1.0
2023-01-01,Cocos (Keeling) Islands,CCK,A,A,1 (Low),1.0
2023-01-01,Colombia,COL,B,B,2 (Medium),2.0
2023-01-01,Comoros,COM,D,D,4 (High),4.0
2023-01-01,Cook Islands,COK,C,C,3 (Sensitive),3.0
2023-01-01,Costa Rica,CRI,B,B,3 (Sensitive),3.0
2023-01-01,Croatia,HRV,BB,BB,2 (Medium),2.0
2023-01-01,Cuba,CUB,D,D,4 (High),4.0
2023-01-01,Cyprus,CYP,B,B,2 (Medium),2.0
2023-01-01,Czech Republic,CZE,BB,BB,2 (Medium),2.0
2023-01-01,C̫te d'Ivoire,CIV,C,C,2 (Medium),2.0
2023-01-01,Denmark,DNK,AA,AA,1 (Low),1.0
2023-01-01,Djibouti,DJI,C,C,3 (Sensitive),3.0
2023-01-01,Dominica,DMA,C,C,3 (Sensitive),3.0
2023-01-01,Dominican Republic,DOM,B,B,2 (Medium),2.0
2023-01-01,Ecuador,ECU,C,C,4 (High),4.0
2023-01-01,Egypt,EGY,D,D,4 (High),4.0
2023-01-01,El Salvador,SLV,C,C,3 (Sensitive),3.0
2023-01-01,Equatorial Guinea,GNQ,D,D,4 (High),4.0
2023-01-01,Eritrea,ERI,D,D,4 (High),4.0
2023-01-01,Estonia,EST,AA,AA,2 (Medium),2.0
2023-01-01,Eswatini,SWZ,C,C,4 (High),4.0
2023-01-01,Ethiopia,ETH,D,D,4 (High),4.0
2023-01-01,Faroe Islands,FRO,A,A,1 (Low),1.0
2023-01-01,Fiji,FJI,D,D,3 (Sensitive),3.0
2023-01-01,Finland,FIN,AA,AA,1 (Low),1.0
2023-01-01,France,FRA,AA,AA,1 (Low),1.0
2023-01-01,French Guiana,GUF,AA,AA,1 (Low),1.0
2023-01-01,French Polynesia,PYF,BB,BB,1 (Low),1.0
2023-01-01,Gabon,GAB,D,D,3 (Sensitive),3.0
2023-01-01,Gambia,GMB,D,D,3 (Sensitive),3.0
2023-01-01,Georgia,GEO,D,D,4 (High),4.0
2023-01-01,Germany,DEU,AA,AA,1 (Low),1.0
2023-01-01,Ghana,GHA,C,C,4 (High),4.0
2023-01-01,Gibraltar,GIB,A,A,1 (Low),1.0
2023-01-01,Greece,GRC,B,B,2 (Medium),2.0
2023-01-01,Greenland,GRL,A,A,1 (Low),1.0
2023-01-01,Grenada,GRD,C,C,3 (Sensitive),3.0
2023-01-01,Guadeloupe,GLP,AA,AA,1 (Low),1.0
2023-01-01,Guam,GUM,A,A,1 (Low),1.0
2023-01-01,Guatemala,GTM,B,B,2 (Medium),2.0
2023-01-01,Guyana,GUY,C,C,3 (Sensitive),3.0
2023-01-01,Haiti,HTI,D,D,4 (High),4.0
2023-01-01,Honduras,HND,C,C,3 (Sensitive),3.0
2023-01-01,Hong Kong,HKG,BB,BB,2 (Medium),2.0
2023-01-01,Hungary,HUN,B,B,3 (Sensitive),3.0
2023-01-01,Iceland,ISL,B,B,2 (Medium),2.0
2023-01-01,India,IND,B,B,1 (Low),1.0
2023-01-01,Indonesia,IDN,B,B,1 (Low),1.0
2023-01-01,Iraq,IRQ,D,D,4 (High),4.0
2023-01-01,Ireland,IRL,AA,AA,1 (Low),1.0
2023-01-01,Israel,ISR,BB,BB,1 (Low),1.0
2023-01-01,Italy,ITA,A,A,2 (Medium),2.0
2023-01-01,Jamaica,JAM,C,C,2 (Medium),2.0
2023-01-01,Japan,JPN,A,A,1 (Low),1.0
2023-01-01,Jordan,JOR,C,C,3 (Sensitive),3.0
2023-01-01,Kazakhstan,KAZ,C,C,4 (High),4.0
2023-01-01,Kenya,KEN,C,C,3 (Sensitive),3.0
2023-01-01,Kiribati,KIR,C,C,3 (Sensitive),3.0
2023-01-01,Kuwait,KWT,B,B,1 (Low),1.0
