date,country,governance_risk_pillar_score
2006-01-01,abw,-1.2251355306984906
2006-01-01,ado,-1.4357799360632253
2006-01-01,afg,1.7310880458115938
2006-01-01,ago,1.2179174715756544
2006-01-01,alb,0.44572604722353987
2006-01-01,are,-0.5521639605373524
2006-01-01,arg,0.18066959648471845
2006-01-01,arm,0.3466022676032762
2006-01-01,atg,-0.8522502921918812
2006-01-01,aus,-1.7678814997942895
2006-01-01,aut,-1.8342920039215378
2006-01-01,aze,0.9484948338157245
2006-01-01,bdi,1.1372750827233131
2006-01-01,bel,-1.4743215397438583
2006-01-01,ben,0.22682748141638456
2006-01-01,bfa,0.35412464766421486
2006-01-01,bgd,1.0680146443787832
2006-01-01,bgr,-0.2567099908793292
2006-01-01,bhr,-0.1423845579913481
2006-01-01,bhs,-1.2294573538573552
2006-01-01,bih,0.3536100393848373
2006-01-01,blr,1.1043634029400995
2006-01-01,blz,-0.019516439222982834
2006-01-01,bol,0.6217401173423497
2006-01-01,bra,0.09900759653051304
2006-01-01,brb,-1.3183251839433001
2006-01-01,brn,-0.44370196718831156
2006-01-01,btn,-0.22029068625243628
2006-01-01,bwa,-0.7681952316849964
2006-01-01,caf,1.4698231575671639
2006-01-01,can,-1.8213158327647039
2006-01-01,che,-1.924272948936596
2006-01-01,chl,-1.2687127352984988
2006-01-01,chn,0.6094645698709708
2006-01-01,civ,1.3746353035422787
2006-01-01,cmr,0.9385050532908589
2006-01-01,cog,1.2149643501741978
2006-01-01,col,0.43697773536411616
2006-01-01,com,0.9517911683559779
2006-01-01,cpv,-0.5566402403160822
2006-01-01,cri,-0.5443747475027824
2006-01-01,cub,0.6086668107702627
2006-01-01,cym,-1.2964709812491433
2006-01-01,cyp,-1.2069693344991332
2006-01-01,cze,-1.025283857665481
2006-01-01,deu,-1.7303582699611766
2006-01-01,dji,0.8127522378876312
2006-01-01,dma,-0.9142964783858685
2006-01-01,dnk,-2.089400266290879
2006-01-01,dom,0.3355808416500738
2006-01-01,dza,0.722630759830356
2006-01-01,ecu,0.8841118271413901
2006-01-01,egy,0.6542055236280204
2006-01-01,eri,1.3744556027092725
2006-01-01,esp,-1.0219083264453879
2006-01-01,est,-1.215923520992835
2006-01-01,eth,1.0103261292430556
2006-01-01,fin,-2.095501447802003
2006-01-01,fji,0.04275428228954993
2006-01-01,fra,-1.4612855598674899
2006-01-01,fsm,-0.684204717831595
2006-01-01,gab,0.643228575598661
2006-01-01,gbr,-1.7281211920873816
2006-01-01,geo,0.2746844285249166
2006-01-01,gha,-0.10999066849763034
2006-01-01,gin,1.4102083109508543
2006-01-01,gmb,0.5483314314829604
2006-01-01,gnb,0.9871056920668283
2006-01-01,gnq,1.226348051095803
2006-01-01,grc,-0.8261451436631008
2006-01-01,grd,-0.5896180863444325
2006-01-01,gtm,0.6611684331029687
2006-01-01,guf,-0.716153880608741
2006-01-01,guy,0.44581225707545336
2006-01-01,hkg,-1.699417678149146
2006-01-01,hnd,0.6440943070246902
2006-01-01,hrv,-0.39164065125242653
2006-01-01,hti,1.2292375773907207
2006-01-01,hun,-1.0700439808130326
2006-01-01,idn,0.6338896452192396
2006-01-01,ind,0.13958516767169526
2006-01-01,irl,-1.7618652608511298
2006-01-01,irn,1.0282223864081466
2006-01-01,irq,1.8139593340953015
2006-01-01,isl,-1.9447746810371977
2006-01-01,isr,-0.7597567546614373
2006-01-01,ita,-0.7261396724886723
2006-01-01,jam,-0.045097413088588716
2006-01-01,jor,-0.008750205953944374
2006-01-01,jpn,-1.4395904377840762
2006-01-01,kaz,0.6758988539647935
2006-01-01,ken,0.6734413661984026
2006-01-01,kgz,1.0872728771769953
2006-01-01,khm,0.9452073207310978
2006-01-01,kir,-0.2939253046942472
2006-01-01,kna,-1.2728959775210602
2006-01-01,kor,-0.7725544943466192
2006-01-01,ksv,0.3802254091033049
2006-01-01,kwt,-0.3047732791317193
2006-01-01,lao,1.1349010780202802
2006-01-01,lbn,0.6963624465414515
2006-01-01,lbr,0.985480997410201
2006-01-01,lby,1.1227123294050787
2006-01-01,lca,-1.1386708894709945
2006-01-01,lie,-1.509984149776855
2006-01-01,lka,0.3186883468218305
2006-01-01,lso,0.21191772521850338
2006-01-01,ltu,-0.817154311044898
2006-01-01,lux,-1.825153170388718
2006-01-01,lva,-0.8109174942930721
2006-01-01,mac,-0.806877394548997
2006-01-01,mar,0.38983307451017923
2006-01-01,mda,0.4962979762839837
2006-01-01,mdg,0.23426999401296023
2006-01-01,mdv,0.011876083605516107
2006-01-01,mex,0.10857309599360969
2006-01-01,mhl,-0.04201377998773131
2006-01-01,mkd,0.26497456052783197
2006-01-01,mli,0.21263621361723226
2006-01-01,mlt,-1.3411571044421222
2006-01-01,mmr,1.768015026052931
2006-01-01,mne,0.0871126139542462
2006-01-01,mng,0.13147227856648047
2006-01-01,moz,0.3659577767201294
2006-01-01,mrt,0.610072423317519
2006-01-01,mus,-0.7592829639408587
2006-01-01,mwi,0.4019386684111836
2006-01-01,mys,-0.4649614096825399
2006-01-01,nam,-0.39240849777086567
2006-01-01,ner,0.5814939119133148
2006-01-01,nga,1.1681192051325577
2006-01-01,nic,0.5515276660544639
2006-01-01,nld,-1.8343239575817953
2006-01-01,nor,-1.875407523874848
2006-01-01,npl,0.9361160003589475
2006-01-01,nru,-0.5626024249497054
2006-01-01,nzl,-1.9065218569003008
2006-01-01,omn,-0.27557632164098206
2006-01-01,pak,0.9119117410451533
2006-01-01,pan,-0.10987481534238859
2006-01-01,per,0.38109338583412444
2006-01-01,phl,0.5408380845236601
