date,country,imf_economic_pillar_score
2006-03-01,Uruguay,0.34080832186590737
2006-03-01,Uzbekistan,0.6086427345312587
2006-03-01,Vietnam,1.3771068619743105
2006-03-01,West Bank and Gaza,-1.337362313526953
2006-04-01,Albania,0.1694615325776557
2006-04-01,Argentina,0.35461464429959383
2006-04-01,Armenia,0.7991427657745532
2006-04-01,Aruba,0.8287200946838673
2006-04-01,Australia,-0.3893401946812059
2006-04-01,Austria,-1.4732024102623074
2006-04-01,Azerbaijan,0.750429583145149
2006-04-01,Bahrain,0.7178827655190057
2006-04-01,Barbados,0.17058479104884597
2006-04-01,Belarus,-1.079696085724945
2006-04-01,Belgium,-1.504592026118744
2006-04-01,Belize,0.938744422018776
2006-04-01,Bhutan,-0.17450480382878103
2006-04-01,Bolivia,0.09568669428898123
2006-04-01,Bosnia and Herzegovina,-1.7230520053867464
2006-04-01,Brazil,-0.8513159475305212
2006-04-01,Brunei Darussalam,-0.015172963103763322
2006-04-01,Bulgaria,-0.448868231326458
2006-04-01,Cabo Verde,-0.47641256908261137
2006-04-01,Canada,-0.6727605859280921
2006-04-01,Chile,0.8596029238215144
2006-04-01,Colombia,0.3598878199604425
2006-04-01,Costa Rica,1.429740582718779
2006-04-01,Croatia,-1.2325595030476009
2006-04-01,Cyprus,-0.6718727807414997
2006-04-01,Czech Republic,-0.8079694438329569
2006-04-01,Denmark,-1.7228813229520696
2006-04-01,Dominican Republic,1.2932458922952865
2006-04-01,Ecuador,0.7817354464348686
2006-04-01,Egypt,0.02062031490123709
2006-04-01,El Salvador,0.7909403571924192
2006-04-01,Estonia,-0.4677085022418147
2006-04-01,Fiji,0.37277618893138825
2006-04-01,Finland,-1.5813145630621859
2006-04-01,France,-1.7741319325057072
2006-04-01,Georgia,0.3319021249518169
2006-04-01,Germany,-1.0838308144899012
2006-04-01,Greece,-1.1001811020182757
2006-04-01,Honduras,0.6696626936274919
2006-04-01,Hong Kong SAR,1.4758869021844694
